Name in English,Countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude
Gao,Solomon Islands,gga,Vulnerable,550,-8.3514,159.8167
Geme,Central African Republic,geq,Critically endangered,550,8.4941,20.6378
Karore,Papua New Guinea,xkx,Vulnerable,550,-6.1542,149.8205
Yuhup (Colombia),Colombia,yab,Definitely endangered,550,-0.5493,-69.9169
Western Tlapanec,Mexico,None,Vulnerable,549,17.4101,-99.2423
Hinukh,Russian Federation,gin,Definitely endangered,548,42.1801,45.977
Anuki,Papua New Guinea,aui,Definitely endangered,542,-9.6522,149.7656
Imeraguen,Mauritania,ime,Definitely endangered,534,18.9166,-15.996
Narpa,Nepal,npa,Definitely endangered,533,28.7315,84.261
Akatek (Mexico),Mexico,knj,Vulnerable,532,16.7823,-93.1061
Naskapi,Canada,nsk,Vulnerable,525,54.903,-66.802
Archi,Russian Federation,aqc,Definitely endangered,524,41.9839,46.8127
Yawanawá,Brazil,ywn,Vulnerable,519,-10.8333,-70.0927
Raute,Nepal,rau,Severely endangered,518,28.9744,80.7969
Seri,Mexico,sei,Vulnerable,518,29.2333,-112.2
Western Popoloc,Mexico,pow,Severely endangered,516,18.4141,-98.0176
Yaqui (United States of America),United States of America,yaq,Definitely endangered,510,32.1158,-111.0638
Kalapalo,Brazil,kui,Vulnerable,506,-12.1574,-53.2521
Nganasan,Russian Federation,nio,Severely endangered,505,72.816,91.582
Jakaltek (Mexico),Mexico,jai,Severely endangered,504,16.3137,-93.2084
Zapotec of San Antonino el Alto,Mexico,None,Definitely endangered,504,16.8166,-97.0333
Purum,India,None,Critically endangered,503,24.3521,93.5925
Aheu,Lao People's Democratic Republic,thm,Definitely endangered,500,18.4333,104.5
Amahuaca,Peru,amc,Severely endangered,500,-10.8764,-72.29
Anfillo,Ethiopia,myo,Critically endangered,500,8.5049,34.7415
Arbanasi,Croatia,None,Severely endangered,500,44.0994,15.2545
Baniva,Venezuela (Bolivarian Republic of),bvv,Severely endangered,500,2.8333,-67.5219
Bataan Ayta,Philippines,ayt,Definitely endangered,500,14.4324,120.4788
Bats,Georgia,bbl,Severely endangered,500,42.0982,45.0878
Black Mountain,Bhutan,ole,Definitely endangered,500,27.1955,90.43
Busoa,Indonesia,bup,Vulnerable,500,-5.5722,122.6074
Chong,"Cambodia, Thailand",cog,Severely endangered,500,12.9506,102.0374
Domaaki,Pakistan,dmk,Severely endangered,500,36.0979,73.9627
Ganan,Myanmar,None,Severely endangered,500,24.2317,95.3778
Havasupai,United States of America,yuf,Definitely endangered,500,36.2429,-112.6897
Kensiw (Thailand),Thailand,kns,Severely endangered,500,7.1712,99.7915
Khmin,China,bgk,Vulnerable,500,22.0469,100.8065
Khvarshi,Russian Federation,khv,Definitely endangered,500,42.3417,46.1212
Kundal Shahi,"India, Pakistan",None,Definitely endangered,500,34.55,73.8833
Laghuu,Viet Nam,lgh,Definitely endangered,500,23.6166,105.6833
Laha (Lao Cai),Viet Nam,lha,Definitely endangered,500,22.0333,103.75
Laha (Son La),Viet Nam,lha,Definitely endangered,500,21.4666,103.75
Langa,Cameroon,None,Severely endangered,500,6.5404,11.6427
Laxudumau,Papua New Guinea,None,Vulnerable,500,-2.8922,151.2467
Majera,Cameroon,xmj,Critically endangered,500,11.3231,14.9839
Maliseet-Passamaquoddy,United States of America,pqm,Severely endangered,500,44.9572,-67.0496
Mikasuki,United States of America,mik,Vulnerable,500,26.3202,-80.9877
Mlomp,Senegal,mlo,Critically endangered,500,12.7421,-16.4904
Onin,Indonesia,oni,Vulnerable,500,-2.9745,132.2383
Ormu,Indonesia,orz,Vulnerable,500,-2.5136,140.6675
Palikur (French Guyana),French Guiana (France),plu,Severely endangered,500,3.908,-51.9873
Pemon (Brazil),Brazil,aoc,Vulnerable,500,4.664,-60.216
Quechua of Chachapoyas,Peru,quk,Critically endangered,500,-6.2606,-77.7722
Samatu,China,None,Critically endangered,500,24.2105,98.9655
Seke,Nepal,skj,Vulnerable,500,28.9282,83.8249
Siona / Secoya (Colombia),Colombia,"sey, snn",Critically endangered,500,0.493,-76.2464
South Saami,"Norway, Sweden",sma,Severely endangered,500,64.2063,13.4802
Taikat,Indonesia,aos,Definitely endangered,500,-2.8429,140.846
Taloki,Indonesia,tlk,Definitely endangered,500,-4.5928,122.8628
Tamki,Chad,tax,Critically endangered,500,11.48,18.2125
Tawahka,Honduras,sum,Severely endangered,500,15.3602,-85.1373
Thavung (Thailand),Thailand,thm,Severely endangered,500,17.3168,103.5142
Tomadino,Indonesia,tdi,Definitely endangered,500,-2.5836,121.9729
Toratán,Indonesia,rth,Definitely endangered,500,1.0354,124.7985
Tunisian Judeo-Arabic (Tunisia),Tunisia,ajt,Critically endangered,500,33.8795,10.0634
Ulwa,Nicaragua,None,Severely endangered,500,12.8894,-83.5779
"Ute (Colorado, Ute Mountain)",United States of America,ute,Severely endangered,500,37.2105,-108.7223
Walmajarri,Australia,wmt,Definitely endangered,500,-19.9939,125.5297
Warekena (Venezuela),Venezuela (Bolivarian Republic of),gae,Severely endangered,500,2.5479,-67.2802
Boguru,"Democratic Republic of the Congo, Sudan",bqu,Critically endangered,494,4.3902,29.2016
Pukobyê,Brazil,gvp,Vulnerable,494,-5.3316,-46.7138
Swoeng,Lao People's Democratic Republic,None,Definitely endangered,492,15.3333,106.75
Wali,Sudan,wll,Critically endangered,487,11.9372,29.3005
Gavião do Pará,Brazil,gvp,Vulnerable,476,-5.1784,-48.999
Malecite,"Canada, United States of America",pqm,Definitely endangered,475,46.8023,-67.6686
Ninam (Brazil),Brazil,shb,Vulnerable,466,3.1185,-62.9736
Zoró,Brazil,gvo,Vulnerable,464,-10.9519,-61.0729
Sanema (Brazil),Brazil,xsu,Vulnerable,462,2.8113,-63.0615
Ixtenco Otomí,Mexico,otz,Severely endangered,461,19.2495,-97.8943
Ottawa (Michigan),United States of America,otw,Critically endangered,459,43.5971,-84.7752
Kanela Apaniekra,Brazil,ram,Vulnerable,458,-6.2716,-46.1865
Satawal,Micronesia (Federated States of),stw,Severely endangered,458,7.3406,147.041
Chatino of Zacatepec,Mexico,ctz,Definitely endangered,453,16.1333,-97.35
Demisa,Indonesia,dei,Definitely endangered,450,-2.7016,136.6699
Koasati (Louisiana),United States of America,cku,Definitely endangered,450,30.4855,-92.8494
Koasati (Texas),United States of America,cku,Definitely endangered,450,30.7155,-94.6965
Nanti,Peru,cox,Vulnerable,450,-11.6629,-72.6965
Shabo,Ethiopia,sbf,Severely endangered,450,7.327,35.2935
Sharanahua,Peru,mcd,Severely endangered,450,-10.3365,-70.9277
Siona  Secoya (Peru),Peru,"sey, snn",Definitely endangered,450,-0.5712,-74.8828
Tolomako,Vanuatu,tlm,Definitely endangered,450,-15.1834,166.8438
Enawenê-Nawê,Brazil,unk,Vulnerable,445,-12.5223,-59.7656
Valle Nacional Chinantec,Mexico,cvn,Definitely endangered,442,17.7747,-96.3034
Gavião de Rondônia,Brazil,gvo,Vulnerable,436,-10.4445,-61.6992
Tabasco Náhuatl,Mexico,nhk,Critically endangered,434,18.0026,-93.3722
Sera,Papua New Guinea,sry,Severely endangered,432,-3.0033,141.9158
Yecuana (Brazil),Brazil,mch,Vulnerable,430,2.8552,-63.3251
Alabugat Tatar,Russian Federation,None,Definitely endangered,422,45.4447,47.0324
"Zapotec of the Southern mountains, eastern lowlands",Mexico,None,Definitely endangered,420,16.2,-96.7
Western Otomí,Mexico,None,Severely endangered,415,19.4335,-100.3456
Moose Cree,Canada,crm,Vulnerable,405,52.2827,-81.6276
Tlahuica,Mexico,ocu,Severely endangered,405,18.9664,-99.4137
Katukina do Acre,Brazil,knt,Severely endangered,404,-6.4899,-69.2578
Abai Sungai,Malaysia,abf,Definitely endangered,400,5.587,118.3695
Barasana (Colombia),Colombia,bsn,Critically endangered,400,0.0769,-70.3894
Beezen,Cameroon,bnz,Severely endangered,400,6.7518,10.0744
Buga,Sudan,myj,Critically endangered,400,8.2495,25.7574
Cheyenne (Oklahoma),United States of America,chy,Severely endangered,400,35.6022,-97.9766
Cimbrian,Italy,cim,Definitely endangered,400,45.867,11.4268
Cobiana,"Guinea-Bissau, Senegal",kcj,Critically endangered,400,12.4017,-16.3229
Dagur (Amur),China,dta,Critically endangered,400,49.5252,127.5402
Dahalo,Kenya,dal,Severely endangered,400,-2.2625,40.7537
Émérillon,French Guiana (France),eme,Severely endangered,400,2.8991,-52.8881
Gagauz (Maritime),"Bulgaria, Romania","bgx, gag",Severely endangered,400,43.2932,27.9602
Hijuk,Cameroon,hij,Critically endangered,400,4.2861,10.4919
Hobyot,"Oman, Yemen",hoh,Severely endangered,400,16.6388,53.0612
Inari Saami,Finland,smn,Severely endangered,400,68.8446,27.2817
Istriot,Croatia,ist,Severely endangered,400,45.0541,13.7246
Kalao,Indonesia,kly,Definitely endangered,400,-7.3134,121.0034
Kamaiurá,Brazil,kay,Vulnerable,400,-12.1655,-53.4292
Kickapoo (Kansas),United States of America,kic,Severely endangered,400,39.6972,-95.7089
Kickapoo (Oklahoma),United States of America,kic,Severely endangered,400,35.4245,-97.0713
Kickapoo (Texas),United States of America,kic,Severely endangered,400,28.6147,-100.4386
Kiowa,United States of America,kio,Severely endangered,400,35.1016,-98.6197
Koroni,Indonesia,xkq,Definitely endangered,400,-2.6412,121.9894
Lamongse,India,nik,Critically endangered,400,7.3134,93.6968
Ndunda,Nigeria,nuh,Severely endangered,400,6.9482,10.9698
Northern Paiute (Nevada),United States of America,pao,Definitely endangered,400,41.9979,-117.7193
Pupeo,China,laq,Definitely endangered,400,23.1666,105.1
Rapa,French Polynesia (France),ray,Severely endangered,400,-27.8973,-143.5034
Red Gelao (China),China,gir,Critically endangered,400,26.2553,105.8571
Sengseng,Papua New Guinea,ssz,Vulnerable,400,-6.0681,150.2792
Sirionó,Bolivia (Plurinational State of),srq,Severely endangered,400,-14.557,-63.7316
Talondo,Indonesia,tln,Definitely endangered,400,-2.3723,119.3774
"Yaminahua (Bolivia, Peru)","Bolivia (Plurinational State of), Peru",yaa,Severely endangered,400,-10.7469,-71.7297
Mixtec of Zapotitlán,Mexico,None,Severely endangered,396,18.3333,-97.4666
Sanema (Venezuela),Venezuela (Bolivarian Republic of),xsu,Vulnerable,393,4.4669,-64.1931
Ts'ixa,Botswana,None,Definitely endangered,390,-18.9894,23.692
Pirahã,Brazil,myp,Vulnerable,389,-6.9264,-61.1279
Mixtec of San Pedro Tidaá,Mexico,None,Severely endangered,384,17.35,-97.3833
Yerong,China,yrn,Severely endangered,380,23.0732,106.0789
A'ingae / Cofan (Colombia),Colombia,con,Severely endangered,379,0.4525,-76.9191
Halkomelem,"Canada, United States of America",hur,Severely endangered,375,48.7715,-123.6678
Yudja,Brazil,jur,Vulnerable,362,-10.956,-53.3235
Kisêdjê,Brazil,suy,Vulnerable,351,-11.5795,-53.031
Auye,Indonesia,auu,Vulnerable,350,-3.5627,135.9915
Awyi,Indonesia,auw,Vulnerable,350,-2.943,140.6359
Bierebo,Vanuatu,bnk,Vulnerable,350,-16.6539,168.1539
Fayu,Indonesia,fau,Vulnerable,350,-3.1,136.8
Labo,Vanuatu,mwi,Vulnerable,350,-16.4492,167.4481
Mra,"China, India",None,Critically endangered,350,28.3914,93.3837
Myky,Brazil,irn,Vulnerable,350,-12.5331,-59.5019
Na,"China, India",None,Critically endangered,350,28.4638,93.3041
Nadëb,Brazil,mbj,Definitely endangered,350,-1.9771,-67.0166
Taje,Indonesia,pee,Critically endangered,350,-0.747,120.086
Tenharim,Brazil,pah,Severely endangered,350,-8.4071,-61.1499
Mako,Venezuela (Bolivarian Republic of),wpc,Critically endangered,345,4.2149,-65.7421
Barām,Nepal,brd,Critically endangered,342,28.041,84.629
Ikpeng,Brazil,txi,Vulnerable,342,-11.7376,-53.616
Gardiol,Italy,None,Severely endangered,340,39.4658,15.9933
Araweté,Brazil,awt,Vulnerable,339,-5.1347,-52.3388
Northern Pame,Mexico,pmq,Definitely endangered,337,21.9955,-99.6458
Thompson,Canada,thp,Severely endangered,335,50.1909,-120.8431
Serili,Indonesia,sve,Vulnerable,328,-8.1136,129.9023
Kaningara,Papua New Guinea,knr,Vulnerable,327,-4.5784,143.3612
Misantla Totonac,Mexico,tlc,Critically endangered,325,19.865,-96.7755
Nemi,New Caledonia (France),nem,Definitely endangered,325,-20.6494,164.6878
Nambiquara do Norte,Brazil,"lkd, ltn, xtw, wmd",Vulnerable,323,-11.8028,-59.8095
Matís,Brazil,mpq,Vulnerable,322,-6.1405,-70.664
Wauja,Brazil,wau,Vulnerable,321,-12.2554,-53.5899
Benggoi,Indonesia,bgy,Definitely endangered,320,-3.0748,130.0918
Karitiana,Brazil,ktn,Vulnerable,320,-9.7307,-64.0942
Apalai,Brazil,apy,Vulnerable,317,1.2084,-55.1074
Kwak'wala,"Canada, United States of America",kwk,Critically endangered,315,50.7338,-127.4982
Southern Zoque,Mexico,None,Definitely endangered,312,16.7138,-93.1194
Tilung,Nepal,tij,Definitely endangered,310,27.1501,86.5077
Opuuo,Ethiopia,lgn,Critically endangered,307,8.3202,33.8873
Panará,Brazil,kre,Vulnerable,306,-9.449,-54.5965
Aka,India,soh,Critically endangered,300,11.0112,34.2333
Bakole,Cameroon,kme,Critically endangered,300,4.5764,8.8439
Bathari,Oman,bhm,Critically endangered,300,17.8846,55.5853
Brokkat,Bhutan,bro,Definitely endangered,300,27.5618,90.6152
Duwet,Papua New Guinea,gve,Vulnerable,300,-6.4763,146.8377
Faire Atta,Philippines,azt,Severely endangered,300,18.027,120.4929
Green Gelao (China),China,giq,Critically endangered,300,27.7022,106.0952
Green Gelao (Viet Nam),Viet Nam,giq,Critically endangered,300,23.1333,105.25
Guatuso,Costa Rica,gut,Severely endangered,300,10.6723,-84.8256
Gupapuyngu,Australia,guf,Vulnerable,300,-12.6624,136.549
Istro-Romanian,Croatia,ruo,Severely endangered,300,45.3907,14.436
Jicarilla Apache,United States of America,apj,Severely endangered,300,36.9336,-106.9984
Kandas,Papua New Guinea,kqw,Vulnerable,300,-4.4121,152.7868
Kangjia,China,kxs,Severely endangered,300,36.0757,102.2991
Kaxarari,Brazil,ktx,Critically endangered,300,-9.5682,-66.1596
Kwansu,Indonesia,kja,Vulnerable,300,-2.5383,140.2061
Legenyem,Indonesia,lcc,Vulnerable,300,-0.3186,130.7345
Mandaic,"Iran (Islamic Republic of), Iraq",mid,Critically endangered,300,31.3348,48.7023
Mangareva,French Polynesia (France),mrv,Severely endangered,300,-23.1226,-134.978
Mani,"Guinea, Sierra Leone",buy,Critically endangered,300,9.1129,-13.2165
Maniq,Thailand,tnz,Definitely endangered,300,7.35,99.9333
Mono,Cameroon,mnr,Critically endangered,300,8.6679,14.1723
Northern Paiute (Oregon),United States of America,pao,Critically endangered,300,43.5883,-119.0595
Phong,Lao People's Democratic Republic,"hnu, tmk",Definitely endangered,300,18.3333,105
Shanenawa,Brazil,ywn,Vulnerable,300,-8.1014,-70.2129
Sissano,Papua New Guinea,sso,Critically endangered,300,-3.0129,142.0491
Skolt Saami,"Finland, Norway, Russian Federation",sms,Severely endangered,300,69.5333,28.6269
Tarpia,Indonesia,suf,Severely endangered,300,-2.3723,140.0317
Tause,Indonesia,tad,Vulnerable,300,-2.8744,136.2469
Thaayorre,Australia,thd,Definitely endangered,300,-15.0867,141.7167
Tlingit (United States of America),United States of America,tli,Critically endangered,300,58.334,-133.7475
Tol,Honduras,jic,Critically endangered,300,15.293,-87.1416
Tsakonian,Greece,tsd,Critically endangered,300,37.1712,22.7911
Tuahka,Nicaragua,None,Severely endangered,300,13.838,-84.4409
Ute (Utah),United States of America,ute,Severely endangered,300,40.2329,-109.8223
Vedda,Sri Lanka,ved,Definitely endangered,300,7.346,81.3935
Vera'a,Vanuatu,vlr,Definitely endangered,300,-13.872,167.4323
Warapu,Papua New Guinea,wra,Severely endangered,300,-2.9876,141.9838
Waru,Indonesia,wru,Definitely endangered,300,-3.4393,121.9921
Yawarana,Venezuela (Bolivarian Republic of),yar,Severely endangered,300,5.3863,-66.0058
Yimas,Papua New Guinea,yee,Severely endangered,300,-4.6038,143.6077
Tilapa Otomí,Mexico,otl,Severely endangered,292,18.8923,-99.2986
Paumarí,Brazil,pad,Severely endangered,290,-5.8947,-64.5996
Wayana (Brazil),Brazil,way,Vulnerable,288,1.3182,-55.2612
Achagua,Colombia,aca,Severely endangered,283,4.434,-70.8837
Guajá,Brazil,gvj,Vulnerable,283,-3.4914,-46.2963
Maniwaki Algonquin,Canada,alq,Severely endangered,280,46.3392,-76.0485
Alabama,United States of America,akz,Definitely endangered,275,30.7158,-94.7028
Cocopa (Arizona),United States of America,coc,Severely endangered,275,32.608,-114.6497
Miltu,Chad,mlj,Critically endangered,272,10.2149,17.3913
Arara do Pará,Brazil,aap,Vulnerable,271,-3.7546,-52.976
Kaki Ae,Papua New Guinea,tbd,Vulnerable,266,-7.9653,145.7858
Nisga'a,Canada,ncg,Severely endangered,265,55.2035,-129.07
"Zapotec of the Valleys, central",Mexico,None,Severely endangered,257,16.85,-96.6666
Bosilewa,Papua New Guinea,bwf,Vulnerable,250,-9.449,150.661
Caquinte Campa,Peru,cot,Definitely endangered,250,-11.146,-73.4765
Gwich'in (Canada),Canada,gwi,Severely endangered,250,67.4407,-134.8272
Kaibobo,Indonesia,kzb,Definitely endangered,250,-3.1843,128.1829
Kaiep,Papua New Guinea,kbw,Vulnerable,250,-3.6666,143.8166
Kaiy,Indonesia,tcq,Vulnerable,250,-2.943,138.1777
Laji,China,lbt,Critically endangered,250,22.5304,105.885
Lehali,Vanuatu,tql,Vulnerable,250,-13.5205,167.2998
Lillooet,Canada,lil,Severely endangered,250,50.3326,-122.6789
Löyöp,Vanuatu,urr,Vulnerable,250,-13.5311,167.3368
Nyangumarta,Australia,nna,Vulnerable,250,-20.016,120.4101
Pear,Cambodia,pcb,Severely endangered,250,12.4666,102.65
Ruc,"Lao People's Democratic Republic, Viet Nam",scb,Definitely endangered,250,17.6833,105.7833
Sause,Indonesia,sao,Severely endangered,250,-3.1706,139.7515
Texistepecan,Mexico,poq,Severely endangered,250,17.8941,-94.8163
Winnebago (Nebraska),United States of America,win,Severely endangered,250,42.2475,-96.4722
Winnebago (Wisconsin),United States of America,win,Severely endangered,250,44.2986,-90.8508
Zapotec of San Bartolo Yautepec,Mexico,zpb,Severely endangered,246,16.4333,-95.9666
Mixtec of San Miguel Piedras,Mexico,None,Severely endangered,243,17,-97.05
North Alaskan Inupiaq (Canada),Canada,esi,Severely endangered,240,68.3217,-133.532
Waiwai (Guyana),Guyana,waw,Vulnerable,240,1.5598,-58.5131
As,Indonesia,asz,Vulnerable,230,-0.736,131.7727
Siglitun,Canada,ikt,Severely endangered,230,69.4386,-132.9998
K'iche' (Mexico),Mexico,quc,Definitely endangered,226,19.3482,-90.7177
Paipai,Mexico,ppi,Severely endangered,226,29.65,-115.1333
Garuwahi,Papua New Guinea,grw,Definitely endangered,225,-10.2284,150.4083
Picuris,United States of America,twf,Vulnerable,225,36.1914,-105.7151
Neku,New Caledonia (France),nek,Severely endangered,221,-21.5169,165.4568
Tiri,New Caledonia (France),"tir, meg",Definitely endangered,221,-21.6141,165.7836
Danisi,Botswana,shg,Critically endangered,220,-19.4769,25.2136
Emplawas,Indonesia,emw,Definitely endangered,220,-8.0374,129.7375
Mixtec of the northeast lowlands,Mexico,None,Severely endangered,220,17.5333,-97.35
Musom,Papua New Guinea,msu,Definitely endangered,219,-6.5391,146.9119
Pwaamèi,New Caledonia (France),pme,Definitely endangered,219,-20.8767,164.7413
"Zapotec of the Valleys, west",Mexico,None,Definitely endangered,211,16.2666,-96.8833
Karo,Brazil,arr,Vulnerable,208,-10.5749,-61.5893
Cocopa (Mexico),Mexico,coc,Definitely endangered,206,32.25,-115.25
Korúbo,Brazil,xor,Vulnerable,205,-5.8346,-70.9277
Aja,Sudan,aja,Critically endangered,200,8.6136,25.2465
Antakirinya,Australia,ant,Definitely endangered,200,-26.7848,134.2968
Bana,Lao People's Democratic Republic,phq,Severely endangered,200,20.4836,100.3161
Baras,Indonesia,brs,Severely endangered,200,-1.8838,119.3774
Batak,Philippines,bya,Definitely endangered,200,10.1081,119
Birri,Central African Republic,bvq,Critically endangered,200,5.4902,26.8505
Bonggo,Indonesia,bpg,Severely endangered,200,-2.2461,139.5208
Central Siberian Yupik (Chukotka),Russian Federation,ess,Severely endangered,200,64.546,-173.128
Chawte,Myanmar,None,Definitely endangered,200,24.1918,94.2736
Che Wong,Malaysia,cwg,Definitely endangered,200,3.6271,102.1907
Defaka,Nigeria,afn,Critically endangered,200,4.538,7.5311
Doga,Papua New Guinea,dgg,Definitely endangered,200,-9.6278,149.8384
Dorig,Vanuatu,wwo,Definitely endangered,200,-14.3236,167.5669
Dukha,Mongolia,None,Severely endangered,200,51.9307,98.9318
Emae,Vanuatu,mmw,Vulnerable,200,-17.0567,168.3956
Erokwanas,Indonesia,erw,Vulnerable,200,-2.8113,132.6708
Gowro,Pakistan,gwf,Severely endangered,200,35.0254,72.9341
Hayu,Nepal,vay,Critically endangered,200,27.2912,86.0696
Hidatsa,United States of America,hid,Definitely endangered,200,47.7321,-102.6758
Ingrian,Russian Federation,izh,Severely endangered,200,59.7397,28.7017
Iwaidja,Australia,ibd,Vulnerable,200,-11.4592,132.55
Kadai,Indonesia,kzd,Definitely endangered,200,-1.7465,125.2606
Kao,Indonesia,kax,Definitely endangered,200,1.1479,127.8204
Karo,Ethiopia,kxh,Critically endangered,200,5.2003,36.0681
Kelo,Sudan,xel,Critically endangered,200,9.4463,34.0219
Kokota,Solomon Islands,kkk,Vulnerable,200,-8.0347,159.1781
Koneraw,Indonesia,kdw,Vulnerable,200,-8.3854,137.9415
Koroshi,Iran (Islamic Republic of),ktl,Critically endangered,200,29.8978,52.6574
Magori,Papua New Guinea,zgr,Vulnerable,200,-10.2554,149.2108
Maung,Australia,mph,Vulnerable,200,-11.913,133.7255
Mehináku,Brazil,mmh,Vulnerable,200,-12.5423,-53.2403
Moghol,Afghanistan,mhj,Critically endangered,200,34.3569,61.5875
Ningalami,Afghanistan,nli,Severely endangered,200,35.2355,71.51
Northern Alta,Philippines,aqn,Severely endangered,200,15.7162,121.4085
Numbani,Papua New Guinea,sij,Vulnerable,200,-7.5177,147.2991
Nung Ven,Viet Nam,None,Vulnerable,200,23.15,105.2166
Ongamo,Kenya,nsg,Critically endangered,200,-2.932,37.4853
Orejón,Peru,ore,Severely endangered,200,-2.7674,-72.9492
Pacific Gulf Yupik,United States of America,ems,Severely endangered,200,58.1938,-155.6542
Pipil,El Salvador,ppl,Critically endangered,200,13.722,-89.7195
Saisiyat,China,xsy,Severely endangered,200,24.5977,121.0762
Sauk-Fox,United States of America,sac,Critically endangered,200,41.9637,-92.5768
Sepa,Papua New Guinea,spe,Vulnerable,200,-4.3245,144.9755
Shark Bay,Vanuatu,ssv,Vulnerable,200,-15.2987,167.1459
Southern Chocho,Mexico,coz,Severely endangered,200,17.6608,-97.335
Theen,Lao People's Democratic Republic,None,Severely endangered,200,20.2022,102.8538
Töitschu,Italy,"gsw, swg, wae",Severely endangered,200,45.6913,7.8682
|Xaise,Botswana,shg,Critically endangered,200,-21.2458,26.1776
Beaver,Canada,bea,Definitely endangered,195,56.481,-121.8831
Nootka,Canada,noo,Severely endangered,185,49.2818,-126.0627
Tipai (Mexico),Mexico,dih,Severely endangered,184,32,-116.1166
Uru-eu-au-au,Brazil,"urz, adw",Vulnerable,183,-11.6852,-63.6547
Eastern Chocho,Mexico,coz,Severely endangered,181,17.7223,-97.3213
Bahonsuai,Indonesia,bsu,Definitely endangered,180,-2.2186,121.6845
Bedoanas,Indonesia,bed,Vulnerable,180,-2.7263,132.5582
Jarawára,Brazil,jap,Vulnerable,180,-7.2153,-65.0115
Keder,Indonesia,kdy,Severely endangered,180,-2.043,139.0979
Straits Salish,"Canada, United States of America",str,Severely endangered,180,48.4457,-123.4205
Zo'é,Brazil,pto,Vulnerable,177,0.7909,-57.1289
Central Ojibwe,Canada,ojc,Definitely endangered,175,50.2275,-86.9635
Kuurinji,Australia,gue,Definitely endangered,175,-18.1047,129.8474
Mwatebu,Papua New Guinea,mwa,Definitely endangered,166,-10.0202,151.0537
Zazao,Solomon Islands,jaj,Critically endangered,166,-8.1832,159.2269
"Zapotec of the Southern mountains, northwest lowlands",Mexico,None,Definitely endangered,164,16.6333,-96.95
Pije,New Caledonia (France),piz,Severely endangered,161,-20.7869,164.9487
Aweti,Brazil,awe,Vulnerable,160,-12.2053,-53.3705
Koro,Vanuatu,krf,Definitely endangered,160,-14.3242,167.4728
Meriam Mir,Australia,ulk,Definitely endangered,160,-9.9201,144.0472
Onjab,Papua New Guinea,onj,Vulnerable,160,-9.2973,149.1613
Tsimshian,Canada,tsi,Critically endangered,160,54.5016,-130.3832
Chihuahua Lower Pima,Mexico,pia,Definitely endangered,159,28.686,-106.1378
Sonora Lower Pima,Mexico,None,Severely endangered,159,28.3716,-108.9265
Kaska,Canada,kkz,Severely endangered,155,61.9751,-132.4544
Aikana,Brazil,tba,Definitely endangered,150,-12.651,-60.3918
Aleut (Eastern),United States of America,ale,Critically endangered,150,54.7212,-164.4433
Aleut (Western),United States of America,ale,Severely endangered,150,52.2304,-174.1978
Amblong,Vanuatu,alm,Definitely endangered,150,-15.4933,166.9846
Arguni,Indonesia,agf,Vulnerable,150,-2.6632,132.5418
Assiniboine (United States of America),United States of America,asb,Critically endangered,150,48.4466,-114.8783
Baki,Vanuatu,bki,Vulnerable,150,-16.7013,168.145
Cacua,Colombia,cbv,Severely endangered,150,0.9166,-69.5
Camarines Norte Agta,Philippines,abd,Severely endangered,150,14.0135,122.8873
Cubeo (Brazil),Brazil,cub,Definitely endangered,150,1.2713,-67.8076
Gwich'in (United States of America),United States of America,gwi,Severely endangered,150,68.1171,-145.5173
Hiw,Vanuatu,hiw,Definitely endangered,150,-13.1343,166.5671
Katxuyana-Xikuyána,Brazil,kbb,Vulnerable,150,2.043,-55.4589
Ket,Russian Federation,ket,Severely endangered,150,62.6236,87.7148
Koyukon,United States of America,koy,Critically endangered,150,66.3375,-151.1608
Malmariv,Vanuatu,mnl,Vulnerable,150,-15.2656,166.9104
Mt. Iraya Agta,Philippines,atl,Definitely endangered,150,13.459,123.5467
Ocaina (Peru),Peru,oca,Critically endangered,150,-2.8552,-71.9824
Papapana,Papua New Guinea,ppn,Definitely endangered,150,-5.8974,155.2505
Quechan,United States of America,yum,Definitely endangered,150,32.7279,-114.7255
Southern Ayta,Philippines,ays,Critically endangered,150,13.027,124.1549
Tundra Yukagir,Russian Federation,"omk, xcv, ykg",Critically endangered,150,69.1654,154.4732
Tupari,Brazil,tpr,Definitely endangered,150,-12.0876,-62.4792
Wari,Indonesia,wbe,Definitely endangered,150,-3.2173,138.4497
Yavapai,United States of America,yuf,Severely endangered,150,34.5638,-112.4453
Mlabri,"Lao People's Democratic Republic, Thailand",mra,Definitely endangered,149,18.4796,101.0961
Negidal,Russian Federation,neg,Critically endangered,147,52.942,139.779
Suarmin,Papua New Guinea,seo,Definitely endangered,145,-5.0526,141.9818
Kickapoo (Mexico),Mexico,kic,Critically endangered,144,28,-101.75
Wab,Papua New Guinea,wab,Vulnerable,142,-5.6296,146.39
Motocintlec,Mexico,mhc,Critically endangered,141,15.3709,-92.2484
Dengalu,Papua New Guinea,ptp,Definitely endangered,140,-7.0572,146.3598
Dimbong,Cameroon,dii,Critically endangered,140,4.7078,10.6567
Kunbarlang,Australia,wlg,Severely endangered,140,-12.0661,134.0661
Machineri (Bolivia),Bolivia (Plurinational State of),mpd,Severely endangered,140,-11.146,-69.0161
Taworta,Indonesia,tbp,Vulnerable,140,-3.2776,138.7902
ǂHoa,Botswana,huc,Critically endangered,140,-24.1668,24.4885
