Name in English,Countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude
Miju,"China, India",mxj,Vulnerable,6700,28.1155,96.2896
Rio Grande Keresan,United States of America,None,Definitely endangered,6685,35.5147,-106.3655
Western Mazatec,Mexico,None,Vulnerable,6639,18.1351,-96.9057
Bussa,Ethiopia,dox,Vulnerable,6624,5.7225,37.1406
Beli,Sudan,blm,Definitely endangered,6600,6.4736,29.2675
Chesu,China,ych,Definitely endangered,6600,24.4211,102.0459
Thuri,Sudan,thu,Vulnerable,6600,8.4397,25.4333
Karata,Russian Federation,kpt,Definitely endangered,6574,42.5874,46.3348
Saulteau,Canada,ojw,Vulnerable,6558,50.5573,-98.6562
Kumāle,Nepal,kra,Severely endangered,6533,27.788,84.548
Lower Northwestern Otomí,Mexico,None,Vulnerable,6509,20.1865,-100.1469
Dimme,Ethiopia,dim,Vulnerable,6501,5.9548,36.2988
